Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
20795136.0,47.85,1400.0,1182.0
20825140.0,47.85,1400.0,1182.0
20855372.0,47.85,1400.0,1182.0
20885460.0,47.85,1400.0,1182.0
20915772.0,48.02,1400.0,1268.0
20945780.0,48.02,1400.0,1268.0
20976012.0,48.02,1400.0,1234.0
21006116.0,48.02,1400.0,1234.0
21036420.0,48.13,1400.0,1731.0
21066420.0,48.13,1400.0,1731.0
21096648.0,48.13,1400.0,1474.0
21126740.0,48.13,1400.0,1474.0
21157072.0,47.99,1400.0,1474.0
21187060.0,47.99,1400.0,1474.0
21217300.0,47.99,1400.0,1765.0
21247380.0,47.99,1400.0,1765.0
21277704.0,47.61,1400.0,1182.0
21307700.0,47.61,1400.0,1182.0
21337932.0,47.61,1400.0,1182.0
21368020.0,47.61,1400.0,1182.0
21398336.0,47.98,1400.0,1679.0
21428340.0,47.98,1400.0,1679.0
21458572.0,47.98,1400.0,1182.0
21488668.0,47.98,1400.0,1182.0
21518976.0,48.15,1400.0,1182.0
21548980.0,48.15,1400.0,1182.0
21579208.0,48.15,1400.0,1697.0
21609300.0,48.15,1400.0,1697.0
21639616.0,47.74,1400.0,1577.0
21669620.0,47.74,1400.0,1577.0
21699848.0,47.74,1400.0,1474.0
21729940.0,47.74,1400.0,1474.0
21760260.0,47.76,1400.0,1182.0
21790260.0,47.76,1400.0,1182.0
21820496.0,47.76,1400.0,1182.0
21850580.0,47.76,1400.0,1182.0
21880904.0,48.03,1400.0,1491.0
21910900.0,48.03,1400.0,1491.0
21941132.0,48.03,1400.0,1285.0
21971220.0,48.03,1400.0,1285.0
22001540.0,48.08,1400.0,1662.0
22031540.0,48.08,1400.0,1662.0
22061772.0,48.08,1400.0,1800.0
22091860.0,48.08,1400.0,1800.0
22122176.0,47.6,1400.0,1182.0
22152180.0,47.6,1400.0,1182.0
22182412.0,47.6,1400.0,1662.0
22212508.0,47.6,1400.0,1662.0
22242820.0,47.44,1400.0,1182.0
22272820.0,47.44,1400.0,1182.0
22303052.0,47.44,1400.0,1182.0
22333140.0,47.44,1400.0,1182.0
22363456.0,47.77,1400.0,1474.0
22393460.0,47.77,1400.0,1474.0
22423692.0,47.77,1400.0,1422.0
22453780.0,47.77,1400.0,1422.0
22484108.0,47.67,1400.0,1182.0
22514104.0,47.67,1400.0,1182.0
22544336.0,47.67,1400.0,1388.0
22574420.0,47.67,1400.0,1388.0
22604744.0,47.69,1400.0,1594.0
22634740.0,47.69,1400.0,1594.0
22664972.0,47.69,1400.0,1182.0
22695068.0,47.69,1400.0,1182.0
22725376.0,47.93,1400.0,1320.0
22755380.0,47.93,1400.0,1320.0
22785608.0,47.93,1400.0,1697.0
22815700.0,47.93,1400.0,1697.0
22846016.0,47.53,1400.0,1182.0
22876020.0,47.53,1400.0,1182.0
22906252.0,47.53,1400.0,1251.0
22936340.0,47.53,1400.0,1251.0
22966660.0,47.79,1400.0,1559.0
22996660.0,47.79,1400.0,1559.0
23026892.0,47.79,1400.0,1182.0
23056980.0,47.79,1400.0,1182.0
23087304.0,47.99,1400.0,1234.0
23117308.0,47.99,1400.0,1234.0
23147540.0,47.99,1400.0,1559.0
23177620.0,47.99,1400.0,1559.0
23207944.0,47.74,1400.0,1200.0
23237940.0,47.74,1400.0,1200.0
23268168.0,47.74,1400.0,1217.0
23298268.0,47.74,1400.0,1217.0
23328576.0,48.0,1400.0,1491.0
23358580.0,48.0,1400.0,1491.0
23388812.0,48.0,1400.0,1200.0
23418908.0,48.0,1400.0,1200.0
23449216.0,48.16,1400.0,1234.0
23479228.0,48.16,1400.0,1234.0
23509452.0,48.16,1400.0,1748.0
23539540.0,48.16,1400.0,1748.0
23569856.0,47.7,1400.0,1594.0
23599860.0,47.7,1400.0,1594.0
23630092.0,47.7,1400.0,1611.0
23660180.0,47.7,1400.0,1611.0
23690496.0,47.58,1400.0,1200.0
23720500.0,47.58,1400.0,1200.0
23750736.0,47.58,1400.0,1182.0
23780820.0,47.58,1400.0,1182.0
23811140.0,47.9,1400.0,1440.0
23841140.0,47.9,1400.0,1440.0
23871372.0,47.9,1400.0,1182.0
23901460.0,47.9,1400.0,1182.0
23931772.0,48.07,1400.0,1200.0
